"","country","year","region","continent","population","infant_mortality","fertility","gdp","life_expectancy"
"6462","Uganda",1994,"Eastern Africa","Africa",19791266,102.5,7.04,4143462753,48.5
"6463","Ukraine",1994,"Eastern Europe","Europe",51052752,17.3,1.5,39337424683,67.5
"6464","United Arab Emirates",1994,"Western Asia","Asia",2238281,11.7,3.58,74682643386,71.6
"6465","United Kingdom",1994,"Northern Europe","Europe",57736667,6.3,1.77,1166755632863,76.6
"6466","United States",1994,"Northern America","Americas",263301323,8.2,2,7803019793692,75.8
"6467","Uruguay",1994,"South America","Americas",3201604,18.5,2.43,20104344754,73.3
"6468","Uzbekistan",1994,"Central Asia","Asia",22276140,57.8,3.63,11493543286,66.7
"6469","Vanuatu",1994,"Melanesia","Oceania",164209,25.8,4.78,226290020.6,62.2
"6470","Venezuela",1994,"South America","Americas",21726808,22.6,3.15,108561418118,72.4
"6471","West Bank and Gaza",1994,"Western Asia","Asia",2501613,30.4,6.4,2907788315,73.3
"6472","Vietnam",1994,"South-Eastern Asia","Asia",73923849,32,2.88,20336301848,70.3
"6473","Yemen",1994,"Western Asia","Asia",14633091,81.1,7.84,7090278264,59.7
"6474","Zambia",1994,"Eastern Africa","Africa",9018229,109.7,6.25,2902232519,47.7
"6475","Zimbabwe",1994,"Eastern Africa","Africa",11476807,58.1,4.55,5958563295,58.2
"6476","Albania",1995,"Southern Europe","Europe",3106727,29.1,2.72,2826309982,73.7
"6477","Algeria",1995,"Northern Africa","Africa",28904300,36.3,3.45,46964159665,71.6
"6478","Angola",1995,"Middle Africa","Africa",13042666,132.8,7.02,6698532130,50.9
"6479","Antigua and Barbuda",1995,"Caribbean","Americas",68349,18,2.21,649771716.4,73.5
"6480","Argentina",1995,"South America","Americas",34994818,20.8,2.77,250257916577,73.5
"6481","Armenia",1995,"Western Asia","Asia",3223173,33.7,1.8,1488846011,69.1
"6483","Australia",1995,"Australia and New Zealand","Oceania",18124770,5.7,1.82,336634494329,78.3
"6484","Austria",1995,"Western Europe","Europe",7972833,5.7,1.42,164467805621,76.8
"6485","Azerbaijan",1995,"Western Asia","Asia",7770806,75.2,2.56,3748177102,64.6
"6486","Bahamas",1995,"Caribbean","Americas",280151,15.6,2.51,5090557216,69.7
"6487","Bahrain",1995,"Western Asia","Asia",563730,15.5,3.1,6452705104,73
"6488","Bangladesh",1995,"Southern Asia","Asia",118427768,81,3.73,36558011931,61.6
"6489","Barbados",1995,"Caribbean","Americas",264962,14,1.73,2161163704,73.3
"6490","Belarus",1995,"Eastern Europe","Europe",10159731,14.4,1.47,9378825621,68.2
"6491","Belgium",1995,"Western Europe","Europe",10161914,6.3,1.61,202125809075,76.9
"6492","Belize",1995,"Central America","Americas",206962,25.1,4.11,621072230.6,70.5
"6493","Benin",1995,"Western Africa","Africa",5985658,97.2,6.37,1737998383,56.7
"6494","Bhutan",1995,"Southern Asia","Asia",508897,75.3,4.6,315112476.5,63.8
"6495","Bolivia",1995,"South America","Americas",7566716,72.2,4.58,7091063596,64.4
"6496","Bosnia and Herzegovina",1995,"Southern Europe","Europe",3879278,12.3,1.53,1622124020,67
"6497","Botswana",1995,"Southern Africa","Africa",1576291,48.9,3.99,3937459475,56.8
"6498","Brazil",1995,"South America","Americas",162755054,39.7,2.5,583625429866,69
"6499","Brunei",1995,"South-Eastern Asia","Asia",295010,8.3,2.93,5617214140,74.7
"6500","Bulgaria",1995,"Eastern Europe","Europe",8358116,19.4,1.34,12757701010,71
"6501","Burkina Faso",1995,"Western Africa","Africa",10089876,101.4,6.84,1884580260,51.3
"6502","Burundi",1995,"Eastern Africa","Africa",6239030,103.2,7.32,897481512.4,44.5
"6503","Cambodia",1995,"South-Eastern Asia","Asia",10694459,87.6,4.62,2567702131,58.1
"6504","Cameroon",1995,"Middle Africa","Africa",13929575,93,5.99,7990255903,56.5
"6505","Canada",1995,"Northern America","Americas",29299478,5.7,1.67,592056646975,78
"6506","Cape Verde",1995,"Western Africa","Africa",389156,43.7,4.55,360942910,68.3
"6507","Central African Republic",1995,"Middle Africa","Africa",3335840,115.4,5.6,855310801,46.7
"6508","Chad",1995,"Middle Africa","Africa",7001634,110.9,7.43,1218135979,53.6
"6509","Chile",1995,"South America","Americas",14193986,11,2.39,61358713993,75.4
"6510","China",1995,"Eastern Asia","Asia",1227841281,37.7,1.68,792785674302,68.4
"6511","Colombia",1995,"South America","Americas",37441980,25,2.87,94512961181,72
"6512","Comoros",1995,"Eastern Africa","Africa",479574,76.9,5.25,187800932.8,58.9
"6513","Congo, Dem. Rep.",1995,"Middle Africa","Africa",42183620,114.9,7.27,5257041078,54
"6514","Congo, Rep.",1995,"Middle Africa","Africa",2721277,68.8,5.15,2857727886,52.6
"6515","Costa Rica",1995,"Central America","Americas",3510925,13,2.76,12536256860,76.8
"6516","Cote d'Ivoire",1995,"Western Africa","Africa",14404340,104.4,5.81,8925452666,52.5
"6517","Croatia",1995,"Southern Europe","Europe",4616762,8.7,1.52,18211797513,73
"6518","Cuba",1995,"Caribbean","Americas",10906048,8.4,1.61,24479205339,75
"6519","Cyprus",1995,"Western Asia","Asia",855389,7.8,2.12,7724182914,76.7
"6520","Czech Republic",1995,"Eastern Europe","Europe",10335556,8.8,1.39,53685084745,73.4
"6521","Denmark",1995,"Northern Europe","Europe",5232582,5.4,1.81,139061964293,75.6
"6522","Djibouti",1995,"Eastern Africa","Africa",661076,86.2,5.35,563948745.8,60.4
"6523","Dominican Republic",1995,"Caribbean","Americas",7892420,38.9,3.13,17188690649,72.6
"6524","Ecuador",1995,"South America","Americas",11440576,35.2,3.34,15210610194,72.3
"6525","Egypt",1995,"Northern Africa","Africa",62434527,49.4,3.66,77501108925,67.4
"6526","El Salvador",1995,"Central America","Americas",5588743,35.6,3.53,11298815408,70
"6527","Equatorial Guinea",1995,"Middle Africa","Africa",448332,116.5,5.9,289915456.2,48.5
"6528","Eritrea",1995,"Eastern Africa","Africa",3164095,74.2,6.29,607707881.3,57.8
"6529","Estonia",1995,"Northern Europe","Europe",1433076,12.8,1.43,4104911009,67.7
"6530","Ethiopia",1995,"Eastern Africa","Africa",57237226,105.6,7,6550580457,49.2
"6531","Fiji",1995,"Melanesia","Oceania",775498,22.1,3.28,1516625635,64.5
"6532","Finland",1995,"Northern Europe","Europe",5108176,4.3,1.81,96327621153,76.7
"6533","France",1995,"Western Europe","Europe",58224051,5.3,1.72,1160031311021,78.2
"6535","Gabon",1995,"Middle Africa","Africa",1086449,58.2,4.99,5002313343,59.8
"6536","Gambia",1995,"Western Africa","Africa",1065746,70.9,6.04,631435683.4,62.6
"6537","Georgia",1995,"Western Asia","Asia",5067143,38.1,1.88,2303253365,70.7
"6538","Germany",1995,"Western Europe","Europe",81612900,5.3,1.31,1720245651998,76.6
"6539","Ghana",1995,"Western Africa","Africa",16760991,72,5.06,4028916869,60
"6540","Greece",1995,"Southern Europe","Europe",10641169,9.1,1.32,105014815743,77.8
"6542","Grenada",1995,"Caribbean","Americas",100253,15.1,3.12,361537835.4,70.7
"6543","Guatemala",1995,"Central America","Americas",10357354,48.5,5.24,15892091190,66.9
"6544","Guinea",1995,"Western Africa","Africa",7863033,122.3,6.31,2528202816,53.4
"6545","Guinea-Bissau",1995,"Western Africa","Africa",1180877,122.1,6.31,217564245.6,52.3
"6546","Guyana",1995,"South America","Americas",726695,41.4,2.49,623006141.6,64.4
"6547","Haiti",1995,"Caribbean","Americas",7819806,87.8,4.89,3236355467,56.2
"6548","Honduras",1995,"Central America","Americas",5591136,36.9,4.62,6119047603,70.1
"6550","Hungary",1995,"Eastern Europe","Europe",10351994,12.1,1.56,40117042262,70.1
"6551","Iceland",1995,"Northern Europe","Europe",267454,4.1,2.13,6852352080,78.9
"6552","India",1995,"Southern Asia","Asia",960874982,77.5,3.47,354233738304,59.9
"6553","Indonesia",1995,"South-Eastern Asia","Asia",196957845,50.8,2.69,159382671061,66.1
"6554","Iran",1995,"Southern Asia","Asia",60318632,36.2,3.2,83073225989,69.9
"6557","Israel",1995,"Western Asia","Asia",5331622,7.2,2.92,97416800093,77.4
"6558","Italy",1995,"Southern Europe","Europe",57120136,6.4,1.24,1004518797770,78.1
"6559","Jamaica",1995,"Caribbean","Americas",2489540,21.9,2.74,9163631326,74.7
"6560","Japan",1995,"Eastern Asia","Asia",124483305,4.1,1.41,4538011073532,79.7
"6561","Jordan",1995,"Western Asia","Asia",4320158,26.2,4.68,7228360644,72.5
"6562","Kazakhstan",1995,"Central Asia","Asia",15925913,44.8,2.24,16178273171,63.6
"6563","Kenya",1995,"Eastern Africa","Africa",27373035,71.9,5.25,11408994019,58.1
"6564","Kiribati",1995,"Micronesia","Oceania",77727,60.3,4.41,50565832.04,58.9
"6565","South Korea",1995,"Eastern Asia","Asia",44652994,4.7,1.63,430548633258,74
"6566","Kuwait",1995,"Western Asia","Asia",1637031,12.7,2.47,34325251801,76.5
"6567","Kyrgyz Republic",1995,"Central Asia","Asia",4592135,51.3,3.3,1042739855,65.1
"6568","Lao",1995,"South-Eastern Asia","Asia",4857774,97.4,5.4,1283469140,53.6
"6569","Latvia",1995,"Northern Europe","Europe",2487988,19.7,1.36,5945589448,66.5
"6570","Lebanon",1995,"Western Asia","Asia",3033406,21.8,2.62,16076372043,73.4
"6571","Lesotho",1995,"Southern Africa","Africa",1753824,76.6,4.55,615714943.8,58.7
"6572","Liberia",1995,"Western Africa","Africa",2079921,158.3,6.16,114166087.1,50.9
"6574","Lithuania",1995,"Northern Europe","Europe",3628079,13.5,1.64,9201155000,69
"6575","Luxembourg",1995,"Western Europe","Europe",408148,5.2,1.71,15053451912,76.9
"6577","Macedonia, FYR",1995,"Southern Europe","Europe",1953544,22,1.99,3098797308,71.8
"6578","Madagascar",1995,"Eastern Africa","Africa",13452526,85.9,6,3212561532,57.2
"6579","Malawi",1995,"Eastern Africa","Africa",9822812,121.9,6.48,1439421907,46.9
"6580","Malaysia",1995,"South-Eastern Asia","Asia",20725374,11.5,3.34,74220828751,72.4
"6581","Maldives",1995,"Southern Asia","Asia",254070,53.4,4.56,420314722.3,69.3
"6582","Mali",1995,"Western Africa","Africa",9640643,124.5,6.95,1882178773,51.4
"6583","Malta",1995,"Southern Europe","Europe",372391,8.4,1.93,3082268472,78.4
"6584","Mauritania",1995,"Western Africa","Africa",2333966,76.3,5.7,1136564092,61.2
"6585","Mauritius",1995,"Eastern Africa","Africa",1128676,19.4,2.14,3460591055,70.3
"6586","Mexico",1995,"Central America","Americas",94426946,28.8,2.97,445845258682,73
"6587","Micronesia, Fed. Sts.",1995,"Micronesia","Oceania",107556,43.3,4.66,235010116.9,65.4
"6588","Moldova",1995,"Eastern Europe","Europe",4339082,31,1.88,1450577738,65.4
"6589","Mongolia",1995,"Eastern Asia","Asia",2298038,62.2,2.74,993500269.2,61.7
"6591","Morocco",1995,"Northern Africa","Africa",27161889,51.8,3.31,30688523141,69.5
"6592","Mozambique",1995,"Eastern Africa","Africa",15913101,143.4,5.98,2963765703,52.7
"6593","Namibia",1995,"Southern Africa","Africa",1654214,47.6,4.59,3288835716,60.5
"6594","Nepal",1995,"Southern Asia","Asia",21390905,76.8,4.71,4346999805,61.7
"6595","Netherlands",1995,"Western Europe","Europe",15450803,5.7,1.53,315805641889,77.6
"6597","New Zealand",1995,"Australia and New Zealand","Oceania",3674886,7.1,2.11,45152836111,77
"6598","Nicaragua",1995,"Central America","Americas",4612229,41.4,4.06,3080833198,74.4
"6599","Niger",1995,"Western Africa","Africa",9361912,119.9,7.77,1563378094,49.5
"6600","Nigeria",1995,"Western Africa","Africa",108424822,123.4,6.26,39542749682,55
"6601","Norway",1995,"Northern Europe","Europe",4359788,4.6,1.87,140452717481,77.9
"6602","Oman",1995,"Western Asia","Asia",2191864,20.7,5.35,16828564523,73.9
"6603","Pakistan",1995,"Southern Asia","Asia",122599749,97.1,5.36,63001091770,61.8
"6604","Panama",1995,"Central America","Americas",2738125,23.5,2.9,9266290384,75.3
"6605","Papua New Guinea",1995,"Melanesia","Oceania",4715929,61.2,4.67,3558992414,56.9
"6606","Paraguay",1995,"South America","Americas",4760853,31.8,4.09,7140058290,74.1
"6607","Peru",1995,"South America","Americas",24038761,42.5,3.32,47130518412,71.1
"6608","Philippines",1995,"South-Eastern Asia","Asia",69835713,33.5,4.01,68010974412,68.8
"6609","Poland",1995,"Eastern Europe","Europe",38591860,12.6,1.68,131592842399,71.9
"6610","Portugal",1995,"Southern Europe","Europe",10078431,7.4,1.48,95292070961,75.5
"6613","Romania",1995,"Eastern Europe","Europe",22965125,27.3,1.35,39502657934,69.4
"6614","Russia",1995,"Eastern Europe","Europe",148293265,22.2,1.34,239710400010,64.4
"6615","Rwanda",1995,"Eastern Africa","Africa",5912755,129.6,6.31,1067635567,43.8
"6616","St. Lucia",1995,"Caribbean","Americas",147040,16.9,2.87,625829659.8,71.1
"6617","St. Vincent and the Grenadines",1995,"Caribbean","Americas",108122,19,2.7,309736577.7,69.6
"6618","Samoa",1995,"Polynesia","Oceania",170158,21.8,4.75,202640783.9,70
"6619","Saudi Arabia",1995,"Western Asia","Asia",18853670,24.8,4.99,165998276055,75.5
"6620","Senegal",1995,"Western Africa","Africa",8710746,70.8,6.05,3837414918,58.4
"6621","Serbia",1995,"Southern Europe","Europe",9884146,17,1.85,5440811878,72
"6622","Seychelles",1995,"Eastern Africa","Africa",76703,12.5,2.35,454659334.2,69.8
"6623","Sierra Leone",1995,"Western Africa","Africa",3837807,153.4,6.2,769057937.4,50.9
"6624","Singapore",1995,"South-Eastern Asia","Asia",3482635,4.1,1.67,72504108856,76.4
"6625","Slovak Republic",1995,"Eastern Europe","Europe",5362950,12.6,1.63,24300878165,72.4
"6626","Slovenia",1995,"Southern Europe","Europe",1991487,6.2,1.29,16155992417,74.6
"6627","Solomon Islands",1995,"Melanesia","Oceania",359236,29.1,5.2,500321063.3,61.1
"6628","South Africa",1995,"Southern Africa","Africa",41426810,48.2,3.11,115811733479,62.7
"6629","Spain",1995,"Southern Europe","Europe",39764267,6.9,1.21,474584351741,77.9
"6630","Sri Lanka",1995,"Southern Asia","Asia",18248435,17.2,2.29,12773621865,71.7
"6631","Sudan",1995,"Northern Africa","Africa",24691970,74.7,5.82,9059281793,60.5
"6632","Suriname",1995,"South America","Americas",445830,35.4,2.68,828162168.9,70.1
"6633","Swaziland",1995,"Southern Africa","Africa",963428,68.7,4.87,1324639759,59.1
"6634","Sweden",1995,"Northern Europe","Europe",8826720,4,1.73,207977423364,78.9
"6635","Switzerland",1995,"Western Europe","Europe",7017042,5.2,1.52,225893296078,78.5
"6636","Syria",1995,"Western Asia","Asia",14331962,24.6,4.5,17257125197,72.7
"6637","Tajikistan",1995,"Central Asia","Asia",5784330,93,4.59,858963529.7,64.1
"6638","Tanzania",1995,"Eastern Africa","Africa",29903329,95.8,5.88,8248764813,53.9
"6639","Thailand",1995,"South-Eastern Asia","Asia",59266089,23.7,1.87,120005700844,70.6
"6641","Togo",1995,"Western Africa","Africa",4284286,84.2,5.73,1046590558,57.6
"6642","Tonga",1995,"Polynesia","Oceania",95889,16.2,4.45,171214197.7,69.6
"6643","Trinidad and Tobago",1995,"Caribbean","Americas",1255001,25.6,1.96,6397137667,69.3
"6644","Tunisia",1995,"Northern Africa","Africa",9113972,35.9,2.68,16375935319,72.9
"6645","Turkey",1995,"Western Asia","Asia",58522320,43.1,2.72,218601092943,70
"6646","Turkmenistan",1995,"Central Asia","Asia",4188010,71.7,3.51,2381802600,63.3
"6647","Uganda",1995,"Eastern Africa","Africa",20412967,101,7.02,4620924068,48.3
"6648","Ukraine",1995,"Eastern Europe","Europe",50811673,17.5,1.41,34538258871,66.5
"6649","United Arab Emirates",1995,"Western Asia","Asia",2350192,11.2,3.39,79677333794,71.9
"6650","United Kingdom",1995,"Northern Europe","Europe",57903790,6.1,1.76,1202368820763,76.7
"6651","United States",1995,"Northern America","Americas",266275528,8,1.98,8001916645307,75.9
"6652","Uruguay",1995,"South America","Americas",3224807,18,2.4,19813314465,73.4
"6653","Uzbekistan",1995,"Central Asia","Asia",22687456,57.3,3.46,11390101396,66.6
"6654","Vanuatu",1995,"Melanesia","Oceania",168236,25.3,4.73,228579532.7,62.3
"6655","Venezuela",1995,"South America","Americas",22188671,22.1,3.08,112851399251,72.7
"6656","West Bank and Gaza",1995,"Western Asia","Asia",2618272,29.3,6.27,3082508702,73.7
"6657","Vietnam",1995,"South-Eastern Asia","Asia",75198975,30.9,2.68,22276482694,70.6
"6658","Yemen",1995,"Western Asia","Asia",15266147,79.7,7.58,7492252465,60.3
"6659","Zambia",1995,"Eastern Africa","Africa",9253527,107.8,6.21,2820351878,46.9
"6660","Zimbabwe",1995,"Eastern Africa","Africa",11683136,60.1,4.43,5967979333,56
"6661","Albania",1996,"Southern Europe","Europe",3092034,27.9,2.67,3083504202,73.8
"6662","Algeria",1996,"Northern Africa","Africa",29411839,35.7,3.21,48889689496,72.1
"6663","Angola",1996,"Middle Africa","Africa",13424813,132.3,6.98,7448767728,51.3
"6664","Antigua and Barbuda",1996,"Caribbean","Americas",70245,17.1,2.25,693563480.7,73.5
"6665","Argentina",1996,"South America","Americas",35419683,20.2,2.72,264088895397,73.5
"6666","Armenia",1996,"Western Asia","Asia",3173425,32.1,1.8,1576172796,69.4
"6668","Australia",1996,"Australia and New Zealand","Oceania",18318340,5.6,1.8,350710609678,78.5
"6669","Austria",1996,"Western Europe","Europe",8000453,5.3,1.45,168524640772,77.1
"6670","Azerbaijan",1996,"Western Asia","Asia",7852287,73.6,2.43,3796903404,65
"6671","Bahamas",1996,"Caribbean","Americas",283792,14.8,2.44,5305558438,70
"6672","Bahrain",1996,"Western Asia","Asia",579855,14.2,3.01,6717911631,73.4
"6673","Bangladesh",1996,"Southern Asia","Asia",120987124,77.4,3.6,38247711533,62.4
"6674","Barbados",1996,"Caribbean","Americas",265940,13.9,1.73,2200799782,73.7
"6675","Belarus",1996,"Eastern Europe","Europe",10126941,14.4,1.4,9641432739,68.1
"6676","Belgium",1996,"Western Europe","Europe",10185077,5.9,1.61,205004919349,77.2
"6677","Belize",1996,"Central America","Americas",213674,24.1,4.01,629945630.3,70.4
"6678","Benin",1996,"Western Africa","Africa",6176318,95.6,6.28,1834412163,56.6
"6679","Bhutan",1996,"Southern Asia","Asia",512377,71.8,4.4,334630530.8,64.7
"6680","Bolivia",1996,"South America","Americas",7717445,69.5,4.48,7400329012,65.1
"6681","Bosnia and Herzegovina",1996,"Southern Europe","Europe",3810649,11,1.52,3065127656,73.8
"6682","Botswana",1996,"Southern Africa","Africa",1611827,50.2,3.87,4156073604,54.8
"6683","Brazil",1996,"South America","Americas",165303155,37.2,2.47,596173376608,69.3
"6684","Brunei",1996,"South-Eastern Asia","Asia",302449,8.1,2.8,5778895442,74.9
"6685","Bulgaria",1996,"Eastern Europe","Europe",8274662,19.5,1.28,11605673635,70.9
"6686","Burkina Faso",1996,"Western Africa","Africa",10372809,100.5,6.8,2092161948,51.5
"6687","Burundi",1996,"Eastern Africa","Africa",6333415,101.7,7.27,825682991.4,44.3
"6688","Cambodia",1996,"South-Eastern Asia","Asia",11022162,88.2,4.42,2706674885,58.3
"6689","Cameroon",1996,"Middle Africa","Africa",14317191,94.1,5.9,8389769052,56.2
"6690","Canada",1996,"Northern America","Americas",29590952,5.6,1.63,601640859296,78.3
"6691","Cape Verde",1996,"Western Africa","Africa",399508,41.6,4.39,385103610.7,68.2
"6692","Central African Republic",1996,"Middle Africa","Africa",3417163,115.4,5.57,821098357.4,46.3
"6693","Chad",1996,"Middle Africa","Africa",7242018,110,7.43,1245111272,53
"6694","Chile",1996,"South America","Americas",14396020,10.5,2.32,65907537053,75.7
"6695","China",1996,"Eastern Asia","Asia",1238234851,36.4,1.59,872064241732,68.8
"6696","Colombia",1996,"South America","Americas",38049040,24.2,2.82,96456010347,72.2
"6697","Comoros",1996,"Eastern Africa","Africa",492979,75.6,5.25,185375167.5,58.4
"6698","Congo, Dem. Rep.",1996,"Middle Africa","Africa",43424997,113.8,7.25,5203252472,51.8
"6699","Congo, Rep.",1996,"Middle Africa","Africa",2795903,71.2,5.15,2980610185,52.2
"6700","Costa Rica",1996,"Central America","Americas",3596733,12.8,2.69,12647402445,76.8
"6701","Cote d'Ivoire",1996,"Western Africa","Africa",14852193,104,5.72,9615330127,52.3
"6702","Croatia",1996,"Southern Europe","Europe",4574853,8.3,1.51,19289988823,73.4
"6703","Cuba",1996,"Caribbean","Americas",10955372,8.2,1.61,26398069059,75.2
"6704","Cyprus",1996,"Western Asia","Asia",873246,7.4,2.04,7866990431,77.1
"6705","Czech Republic",1996,"Eastern Europe","Europe",10326682,7.9,1.31,56122215304,73.8
"6706","Denmark",1996,"Northern Europe","Europe",5254383,5.1,1.75,143003738460,75.9
"6707","Djibouti",1996,"Eastern Africa","Africa",673202,85.1,5.15,540739442,60.3
"6708","Dominican Republic",1996,"Caribbean","Americas",8029114,37.6,3.07,18414479323,72.6
"6709","Ecuador",1996,"South America","Americas",11683480,33.6,3.27,15575792575,72.5
"6710","Egypt",1996,"Northern Africa","Africa",63595629,46.6,3.58,81367430436,67.9
"6711","El Salvador",1996,"Central America","Americas",5643363,33.7,3.43,11491596865,70.3
"6712","Equatorial Guinea",1996,"Middle Africa","Africa",463844,114.3,5.89,374402170.2,48.9
"6713","Eritrea",1996,"Eastern Africa","Africa",3202598,70.6,6.23,663974581.1,58.4
"6714","Estonia",1996,"Northern Europe","Europe",1417786,12,1.38,4346685997,69.8
"6715","Ethiopia",1996,"Eastern Africa","Africa",59076414,102.1,6.94,7364550133,50
"6716","Fiji",1996,"Melanesia","Oceania",784479,21.8,3.24,1589423666,64.3
"6717","Finland",1996,"Northern Europe","Europe",5126021,4,1.76,99765984890,76.8
"6718","France",1996,"Western Europe","Europe",58443318,5,1.74,1172414702760,78.4
"6720","Gabon",1996,"Middle Africa","Africa",1114879,57.8,4.9,5183649654,59.6
"6721","Gambia",1996,"Western Africa","Africa",1095839,69.3,6.02,645475940.8,62.8
"6722","Georgia",1996,"Western Asia","Asia",4989723,37.1,1.81,2561217795,71.2
"6723","Germany",1996,"Western Europe","Europe",81870772,5,1.32,1733849040570,76.9
"6724","Ghana",1996,"Western Africa","Africa",17169214,71,4.96,4214346194,60.1
"6725","Greece",1996,"Southern Europe","Europe",10725634,8.7,1.31,107491487302,77.9
"6727","Grenada",1996,"Caribbean","Americas",100796,14.7,2.99,376206895.9,70.8
"6728","Guatemala",1996,"Central America","Americas",10612300,46.6,5.15,16362144271,68.1
"6729","Guinea",1996,"Western Africa","Africa",8124799,118.5,6.24,2660235794,53.8
"6730","Guinea-Bissau",1996,"Western Africa","Africa",1207006,119.1,6.21,242801698.1,52.6
"6731","Guyana",1996,"South America","Americas",730193,40.5,2.51,672120623.3,64.3
"6732","Haiti",1996,"Caribbean","Americas",7965548,85.1,4.78,3370238999,56.7
"6733","Honduras",1996,"Central America","Americas",5724587,35.6,4.49,6339042644,70.1
"6735","Hungary",1996,"Eastern Europe","Europe",10334876,11.5,1.49,40181583041,70.5
"6736","Iceland",1996,"Northern Europe","Europe",270089,3.9,2.1,7180241405,79.4
"6737","India",1996,"Southern Asia","Asia",979290432,75.4,3.4,380976693190,60.2
"6738","Indonesia",1996,"South-Eastern Asia","Asia",199926615,48.7,2.63,171563947985,66.4
"6739","Iran",1996,"Southern Asia","Asia",61306632,34.7,2.95,88972035744,69.8
"6742","Israel",1996,"Western Asia","Asia",5486219,6.7,2.92,102765023595,77.7
"6743","Italy",1996,"Southern Europe","Europe",57091906,6,1.23,1015916918932,78.3
"6744","Jamaica",1996,"Caribbean","Americas",2512340,21.2,2.71,9153209417,74.5
"6745","Japan",1996,"Eastern Asia","Asia",124794817,4,1.39,4656455641600,80.2
"6746","Jordan",1996,"Western Asia","Asia",4448113,25.5,4.53,7379252157,72.6
"6747","Kazakhstan",1996,"Central Asia","Asia",15704673,44,2.13,16259164536,63.5
"6748","Kenya",1996,"Eastern Africa","Africa",28116027,71.7,5.17,11882106663,57.4
"6749","Kiribati",1996,"Micronesia","Oceania",78907,58.9,4.33,53614894.72,59.2
"6750","South Korea",1996,"Eastern Asia","Asia",44967346,4.5,1.59,460681097830,74.5
"6751","Kuwait",1996,"Western Asia","Asia",1637906,12.3,2.64,34532963147,76
"6752","Kyrgyz Republic",1996,"Central Asia","Asia",4656894,49.5,3.17,1116612785,65.2
"6753","Lao",1996,"South-Eastern Asia","Asia",4966303,94.4,5.17,1372392037,54
"6754","Latvia",1996,"Northern Europe","Europe",2458305,19.1,1.28,6170981039,68.6
"6755","Lebanon",1996,"Western Asia","Asia",3070974,20.8,2.54,16902135516,74
"6756","Lesotho",1996,"Southern Africa","Africa",1779201,78.8,4.48,644484498.1,57.9
"6757","Liberia",1996,"Western Africa","Africa",2197801,151.9,6.11,128004400.7,50.4
"6759","Lithuania",1996,"Northern Europe","Europe",3602164,12,1.57,9678020500,70.2
"6760","Luxembourg",1996,"Western Europe","Europe",414000,4.9,1.72,15281888981,77.1
"6762","Macedonia, FYR",1996,"Southern Europe","Europe",1958303,19.5,1.92,3135512239,72.1
"6763","Madagascar",1996,"Eastern Africa","Africa",13882646,83.1,5.92,3281596749,57.6
"6764","Malawi",1996,"Eastern Africa","Africa",10006767,119.5,6.45,1544739824,46.3
"6765","Malaysia",1996,"South-Eastern Asia","Asia",21260881,11.1,3.28,81644916395,72.5
"6766","Maldives",1996,"Southern Asia","Asia",259668,50.1,4.29,458492055.1,70
"6767","Mali",1996,"Western Africa","Africa",9901045,123.6,6.92,1942754935,51.8
"6768","Malta",1996,"Southern Europe","Europe",375610,8,1.88,3198696108,78.5
"6769","Mauritania",1996,"Western Africa","Africa",2403779,76.3,5.63,1202698785,61.5
"6770","Mauritius",1996,"Eastern Africa","Africa",1141949,19.9,2.11,3653963481,70.5
"6771","Mexico",1996,"Central America","Americas",96181710,27.3,2.9,468760936466,73.3
"6772","Micronesia, Fed. Sts.",1996,"Micronesia","Oceania",108342,43.5,4.61,227728371.7,65.7
"6773","Moldova",1996,"Eastern Europe","Europe",4314693,31.3,1.8,1375147696,66.1
"6774","Mongolia",1996,"Eastern Asia","Asia",2316571,59.4,2.57,1015705933,61.7
"6776","Morocco",1996,"Northern Africa","Africa",27556892,49.7,3.17,34437705756,70
"6777","Mozambique",1996,"Eastern Africa","Africa",16410777,138.3,5.93,3183084365,52.6
"6778","Namibia",1996,"Southern Africa","Africa",1705349,48,4.47,3393925225,59.3
"6779","Nepal",1996,"Southern Asia","Asia",21902534,73.1,4.6,4578620308,62.5
"6780","Netherlands",1996,"Western Europe","Europe",15546647,5.5,1.53,326563625485,77.6
"6782","New Zealand",1996,"Australia and New Zealand","Oceania",3717239,6.9,2.07,46778305308,77.3
"6783","Nicaragua",1996,"Central America","Americas",4700777,39.5,3.88,3276286557,74.7
"6784","Niger",1996,"Western Africa","Africa",9701730,115.4,7.77,1616831446,50.2
"6785","Nigeria",1996,"Western Africa","Africa",111164651,121.9,6.22,41243087918,55
"6786","Norway",1996,"Northern Europe","Europe",4385951,4.4,1.89,147615476382,78.2
"6787","Oman",1996,"Western Asia","Asia",2219768,19.2,4.98,17341152466,74.2
"6788","Pakistan",1996,"Southern Asia","Asia",125697651,95.2,5.21,66054490892,61.9
"6789","Panama",1996,"Central America","Americas",2794845,23.3,2.88,9526727264,75.4
"6790","Papua New Guinea",1996,"Melanesia","Oceania",4840311,60.5,4.65,3834234097,57
"6791","Paraguay",1996,"South America","Americas",4870695,30.9,4.01,7168801119,74.1
"6792","Peru",1996,"South America","Americas",24441076,39.7,3.23,48317368876,71.7
"6793","Philippines",1996,"South-Eastern Asia","Asia",71437381,32.6,3.96,71986809923,68.9
"6794","Poland",1996,"Eastern Europe","Europe",38599825,11.6,1.6,139802810346,72.4
